acousticness;danceability;duration_ms;energy;explicit;liveness;loudness;mode;popularity;tempo;valence;year
0.588;0.81;208293;0.353;1;0.102;-9.931;0;79;88.031;0.0727;2018
0.0381;0.742;258475;0.579;1;0.0952;-5.024;1;78;144.994;0.502;2018
0.113;0.566;184154;0.366;0;0.155;-12.808;1;81;129.959;0.237;2018
0.66;0.769;164640;0.479;0;0.0914;-5.339;1;79;96.051;0.803;2018
0.188;0.673;153800;0.649;1;0.122;-8.433;0;78;153.075;0.47;2018
0.191;0.687;214290;0.792;0;0.167;-2.749;1;84;100.015;0.671;2018
0.0802;0.776;186945;0.736;1;0.159;-4.612;1;78;147.946;0.233;2018
0.367;0.52;345133;0.538;1;0.119;-8.109;1;79;141.894;0.177;2018
0.0153;0.581;189487;0.662;1;0.111;-5.239;1;80;93.023;0.434;2018
0.68;0.767;121680;0.538;1;0.192;-6.044;0;77;81.031;0.343;2018
0.111;0.935;145627;0.552;1;0.0952;-9.373;0;78;99.993;0.615;2018
0.0332;0.754;198973;0.449;1;0.552;-9.211;1;83;77.169;0.357;2018
0.0079;0.825;175954;0.572;1;0.113;-6.067;0;78;141.991;0.568;2018
0.619;0.672;174358;0.588;1;0.0992;-9.573;1;80;169.033;0.204;2018
0.0395;0.837;288624;0.636;1;0.342;-7.643;1;78;145.972;0.274;2018
0.193;0.579;190947;0.904;0;0.064;-2.729;1;83;82.014;0.681;2018
